brand,clave,rendimiento,price,precio_original,model,impresoras,description
HP,Q2612X,2500,539.01,995.10,LaserJet,1012,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q2612X,2500,539.01,995.10,LaserJet,1015,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q2612X,2500,539.01,995.10,LaserJet,1020,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q2612X,2500,539.01,995.10,LaserJet,3015,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q2612X,2500,539.01,995.10,LaserJet,3020,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q2612X,2500,539.01,995.10,LaserJet,3030,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q2612X,2500,539.01,995.10,LaserJet,M1005MFP,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,Q2612X,2500,539.01,995.10,LaserJet,M1319MFP,"Toner, Color Negro, Rendimiento 2,500 paginas"
HP,CE505A,2300,591.78,1092.52,LASERJET,P2035,"Toner, Color Negro, Rendimiento 2,300 paginas"
HP,CE505A,2300,591.78,1092.52,LASERJET,P2035N,"Toner, Color Negro, Rendimiento 2,300 paginas"
HP,CE505A,2300,591.78,1092.52,LASERJET,P2055DN,"Toner, Color Negro, Rendimiento 2,300 paginas"
HP,CE505A,2300,591.78,1092.52,LASERJET,P2055,"Toner, Color Negro, Rendimiento 2,300 paginas"
HP,CE505A,2300,591.78,1092.52,LASERJET,P2055D,"Toner, Color Negro, Rendimiento 2,300 paginas"
HP,CE505A,2300,591.78,1092.52,LASERJET,P2055X,"Toner, Color Negro, Rendimiento 2,300 paginas"
HP,CE505X,6500,865.66,1997.68,LASERJET,P2055,"Toner, Color Negro, Rendimiento 6,500 paginas"
HP,CE505X,6500,865.66,1997.68,LASERJET,P2055D,"Toner, Color Negro, Rendimiento 6,500 paginas"
HP,CE505X,6500,865.66,1997.68,LASERJET,P2055DN,"Toner, Color Negro, Rendimiento 6,500 paginas"
HP,CE505X,6500,865.66,1997.68,LASERJET,P2055X,"Toner, Color Negro, Rendimiento 6,500 paginas"
HP,CF280A,2700,712.28,1314.97,LASERJET PRO,M401dn,"Toner, Color Negro, Rendimiento 2,700 paginas"
HP,CF280A,2700,712.28,1314.97,LASERJET PRO,M401dw,"Toner, Color Negro, Rendimiento 2,700 paginas"
HP,CF280A,2700,712.28,1314.97,LASERJET PRO,M401n,"Toner, Color Negro, Rendimiento 2,700 paginas"
HP,CF280A,2700,712.28,1314.97,LASERJET PRO,M425d,"Toner, Color Negro, Rendimiento 2,700 paginas"
HP,CF280A,2700,712.28,1314.97,LASERJET PRO,M425DN ,"Toner, Color Negro, Rendimiento 2,700 paginas"
HP,CF280X,6900,1226.13,2263.63,LASERJET PRO,M401dn,"Toner, Color Negro, Rendimiento 6,900 paginas"
HP,CF280X,6900,1226.13,2263.63,LASERJET PRO,M401dw,"Toner, Color Negro, Rendimiento 6,900 paginas"
HP,CF280X,6900,1226.13,2263.63,LASERJET PRO,M401n,"Toner, Color Negro, Rendimiento 6,900 paginas"
HP,CF280X,6900,1226.13,2263.63,LASERJET PRO,M425DN ,"Toner, Color Negro, Rendimiento 6,900 paginas"
